content_key,show_id,type,title,release_year,date_added,year_added,month_added,country,primary_country,language,popularity,vote_average,vote_count,has_valid_votes,weighted_rating,genres_harmonized,genre
movies_41397,41397,Movie,Joan Rivers: A Piece of Work,2010,2010-01-25,2010,1,United States of America,United States of America,en,3.913,6.9,46,True,6.68,Documentary,Documentary
movies_50119,50119,Movie,Cool Dog,2010,2010-08-19,2010,8,United States of America,United States of America,en,3.908,4.8,27,True,6.4,"Family, Comedy, Adventure",Family
movies_50119,50119,Movie,Cool Dog,2010,2010-08-19,2010,8,United States of America,United States of America,en,3.908,4.8,27,True,6.4,"Family, Comedy, Adventure",Comedy
movies_50119,50119,Movie,Cool Dog,2010,2010-08-19,2010,8,United States of America,United States of America,en,3.908,4.8,27,True,6.4,"Family, Comedy, Adventure",Adventure
movies_55045,55045,Movie,Psych:9,2010,2010-05-07,2010,5,"United Kingdom, United States of America, Czech Republic",United Kingdom,en,3.907,4.7,48,True,6.23,"Horror, Mystery, Thriller",Horror
movies_55045,55045,Movie,Psych:9,2010,2010-05-07,2010,5,"United Kingdom, United States of America, Czech Republic",United Kingdom,en,3.907,4.7,48,True,6.23,"Horror, Mystery, Thriller",Mystery
movies_55045,55045,Movie,Psych:9,2010,2010-05-07,2010,5,"United Kingdom, United States of America, Czech Republic",United Kingdom,en,3.907,4.7,48,True,6.23,"Horror, Mystery, Thriller",Thriller
movies_58515,58515,Movie,The Lost Thing,2010,2010-06-03,2010,6,Australia,Australia,en,3.906,6.9,83,True,6.71,"Animation, Drama, Science Fiction",Animation
movies_58515,58515,Movie,The Lost Thing,2010,2010-06-03,2010,6,Australia,Australia,en,3.906,6.9,83,True,6.71,"Animation, Drama, Science Fiction",Drama
movies_58515,58515,Movie,The Lost Thing,2010,2010-06-03,2010,6,Australia,Australia,en,3.906,6.9,83,True,6.71,"Animation, Drama, Science Fiction",Science Fiction
movies_58602,58602,Movie,Henri 4,2010,2010-03-04,2010,3,"Germany, France, Austria, Spain",Germany,fr,3.905,5.6,34,True,6.47,"History, Drama",History
movies_58602,58602,Movie,Henri 4,2010,2010-03-04,2010,3,"Germany, France, Austria, Spain",Germany,fr,3.905,5.6,34,True,6.47,"History, Drama",Drama
movies_48417,48417,Movie,The Stool Pigeon,2010,2010-08-26,2010,8,Hong Kong,Hong Kong,cn,3.899,5.8,53,True,6.44,"Crime, Drama, Thriller",Crime
movies_48417,48417,Movie,The Stool Pigeon,2010,2010-08-26,2010,8,Hong Kong,Hong Kong,cn,3.899,5.8,53,True,6.44,"Crime, Drama, Thriller",Drama
movies_48417,48417,Movie,The Stool Pigeon,2010,2010-08-26,2010,8,Hong Kong,Hong Kong,cn,3.899,5.8,53,True,6.44,"Crime, Drama, Thriller",Thriller
